Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Comment
57	Spectrogram 1	1	17.750930874	17.914465242	1553.859	5697.483	0.1635	
58	Spectrogram 1	1	18.009143034	18.362032986	1109.899	4217.617	0.3529	
59	Spectrogram 1	1	18.563368302	18.744116814	1331.879	6363.423	0.1807	
60	Spectrogram 1	1	18.765634494	19.036757262	1331.879	6733.389	0.2711	Baby crying in the background
61	Spectrogram 1	1	19.097006766	19.424075502	1109.899	6659.396	0.3271	Baby craying in the background
62	Spectrogram 1	1	19.462175556	19.630013460	1109.899	5919.463	0.1678	
63	Spectrogram 1	1	19.743714450	19.907248818	1405.872	5697.483	0.1635	
64	Spectrogram 1	1	19.989016002	20.122425618	1479.866	5845.470	0.1334	
65	Spectrogram 1	1	20.285959986	20.462404962	1257.886	5845.470	0.1764	
66	Spectrogram 1	1	20.544172146	20.694795906	1183.893	5475.503	0.1506	
67	Spectrogram 1	1	20.847720575	21.006951407	1035.906	5549.497	0.1592	
68	Spectrogram 1	1	21.114539807	21.286681247	1257.886	5771.477	0.1721	
69	Spectrogram 1	1	21.433001471	21.592232303	1257.886	6067.450	0.1592	
70	Spectrogram 1	1	21.691213631	21.867658607	1331.879	5697.483	0.1764	
71	Spectrogram 1	1	22.001068223	22.134477839	1257.886	5697.483	0.1334	
72	Spectrogram 1	1	22.273150069	22.432380901	1183.893	5327.517	0.1592	
73	Spectrogram 1	1	22.664771845	22.836913285	1257.886	5623.490	0.1721	
74	Spectrogram 1	1	22.961715829	23.172589093	1405.872	5993.456	0.2109	
75	Spectrogram 1	1	23.251287254	23.401911014	1405.872	5623.490	0.1506	
76	Spectrogram 1	1	23.462160518	23.629998422	1405.872	5327.517	0.1678	
77	Spectrogram 1	1	23.888210582	24.064655558	1331.879	5623.490	0.1764	
78	Spectrogram 1	1	24.150726278	24.309957110	1553.859	5697.483	0.1592	
79	Spectrogram 1	1	24.443366726	24.632722310	1257.886	5623.490	0.1894	
80	Spectrogram 1	1	24.774738998	24.946880438	1405.872	5697.483	0.1721	
81	Spectrogram 1	1	25.045285440	25.286283456	1331.879	6659.396	0.2410	
