Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Comment
1	Spectrogram 1	1	0.068856576	0.279729840	952.778	5988.889	0.2109	
2	Spectrogram 1	1	0.344282880	0.546549072	1020.833	5444.444	0.2023	
3	Spectrogram 1	1	0.598191504	0.774636480	1156.944	5580.556	0.1764	
4	Spectrogram 1	1	0.882224880	1.054366320	1088.889	5512.500	0.1721	
5	Spectrogram 1	1	1.187775936	1.364220912	1156.944	5988.889	0.1764	
6	Spectrogram 1	1	1.493326992	1.691289648	1020.833	5580.556	0.1980	
7	Spectrogram 1	1	1.837609872	2.048483136	1088.889	5920.833	0.2109	
8	Spectrogram 1	1	2.117339712	2.298088224	1627.852	5852.778	0.1807	
9	Spectrogram 1	1	2.411213446	2.591961958	1183.893	5784.722	0.1807	
10	Spectrogram 1	1	2.634997318	2.815745830	1361.111	6125.000	0.1807	
11	Spectrogram 1	1	2.888905941	3.091172133	1109.899	5716.667	0.2023	
12	Spectrogram 1	1	3.194456997	3.392419653	1088.889	6056.944	0.1980	
13	Spectrogram 1	1	3.456972693	3.672149493	1020.833	5648.611	0.2152	
14	Spectrogram 1	1	3.766827285	3.956182869	1225.000	5784.722	0.1894	
15	Spectrogram 1	1	4.302137231	4.482885743	961.913	5444.444	0.1807	
16	Spectrogram 1	1	4.637813039	4.788436799	1183.893	5716.667	0.1506	
17	Spectrogram 1	1	4.943364095	5.137023215	1035.906	5716.667	0.1937	
18	Spectrogram 1	1	5.218790399	5.438270735	952.778	5920.833	0.2195	
19	Spectrogram 1	1	5.567376815	5.752428863	1565.278	5512.500	0.1851	
20	Spectrogram 1	1	5.899763386	6.153672010	1183.893	6585.403	0.2539	
21	Spectrogram 1	1	6.157975546	6.454919530	1257.886	6881.376	0.2969	
22	Spectrogram 1	1	6.631364506	6.863755450	1331.879	6807.383	0.2324	
23	Spectrogram 1	1	6.850844842	7.186520650	1257.886	6881.376	0.3357	
24	Spectrogram 1	1	7.307019658	7.539410602	1331.879	6215.436	0.2324	
25	Spectrogram 1	1	8.281618812	8.470974396	1331.879	5697.483	0.1894	
26	Spectrogram 1	1	8.539830972	8.716275948	1405.872	5919.463	0.1764	
27	Spectrogram 1	1	8.862596172	9.077772972	1405.872	5697.483	0.2152	
28	Spectrogram 1	1	9.163843692	9.348895740	1479.866	5771.477	0.1851	
29	Spectrogram 1	1	9.465091212	9.654446796	1183.893	5845.470	0.1894	
30	Spectrogram 1	1	9.749124588	9.959997852	1183.893	5623.490	0.2109	
31	Spectrogram 1	1	10.076219741	10.343038973	1405.872	5327.517	0.2668	
32	Spectrogram 1	1	10.459234445	10.665804173	1035.906	5771.477	0.2066	
33	Spectrogram 1	1	10.738224305	10.923276353	961.913	5623.490	0.1851	
34	Spectrogram 1	1	11.026561217	11.207309729	1035.906	5845.470	0.1807	
35	Spectrogram 1	1	11.349326417	11.499950177	739.933	6067.450	0.1506	
36	Spectrogram 1	1	11.564503217	11.736644657	1257.886	5845.470	0.1721	
37	Spectrogram 1	1	11.882964881	12.063713393	1405.872	5401.510	0.1807	
38	Spectrogram 1	1	12.197123009	12.382175057	1331.879	5623.490	0.1851	
39	Spectrogram 1	1	12.483459079	12.655600519	961.913	5771.477	0.1721	
40	Spectrogram 1	1	12.780403063	12.952544503	1257.886	5919.463	0.1721	
41	Spectrogram 1	1	13.068739975	13.271006167	887.919	5771.477	0.2023	
42	Spectrogram 1	1	13.378594567	13.555039543	1405.872	6067.450	0.1764	
43	Spectrogram 1	1	13.610985511	13.813251703	1331.879	5475.503	0.2023	
44	Spectrogram 1	1	13.902693298	14.079138274	1109.899	5771.477	0.1764	
45	Spectrogram 1	1	14.221154962	14.367475186	1257.886	5697.483	0.1463	
46	Spectrogram 1	1	14.492277730	14.660115634	1183.893	6215.436	0.1678	
47	Spectrogram 1	1	14.793525250	14.935541938	1109.899	6437.416	0.1420	
48	Spectrogram 1	1	15.074325055	15.267984175	1257.886	6215.436	0.1937	
49	Spectrogram 1	1	15.379876111	15.569231695	1331.879	5993.456	0.1894	
50	Spectrogram 1	1	15.672516559	15.879086287	813.926	5845.470	0.2066	
51	Spectrogram 1	1	15.930728719	16.115780767	887.919	5697.483	0.1851	
52	Spectrogram 1	1	16.348171711	16.503099007	1479.866	5697.483	0.1549	
53	Spectrogram 1	1	16.580562655	16.795739455	1109.899	6215.436	0.2152	
54	Spectrogram 1	1	16.872050452	17.074316644	1257.886	5993.456	0.2023	
55	Spectrogram 1	1	17.169953514	17.398040922	1257.886	6067.450	0.2281	
56	Spectrogram 1	1	17.462593962	17.677770762	1257.886	5919.463	0.2152	
