Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Comment
1	Spectrogram 1	1	0.693708412	1.324352423	976.661	10855.963	0.6306	
2	Spectrogram 1	1	10.267492666	11.402651885	2516.780	10668.143	1.1352	
3	Spectrogram 1	1	12.663939907	14.114421132	2328.961	10555.451	1.4505	
4	Spectrogram 1	1	15.691031159	16.636997175	1126.917	14086.457	0.9460	
5	Spectrogram 1	1	17.330705587	18.213607202	1089.353	14274.276	0.8829	
6	Spectrogram 1	1	37.195991926	38.078893541	450.767	13560.562	0.8829	
7	Spectrogram 1	1	39.024859558	39.970825574	450.767	13823.509	0.9460	
8	Spectrogram 1	1	46.088072478	47.223231698	525.894	4657.922	1.1352	
10	Spectrogram 1	1	70.355629464	71.143934477	1089.353	2629.472	0.7883	
11	Spectrogram 1	1	85.995600931	86.657777143	638.586	2929.983	0.6622	
12	Spectrogram 1	1	99.144528556	99.901301369	1126.917	3568.569	0.7568	
