Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Comment
78	Spectrogram 1	1	21.100626661	21.304741372	1348.624	5664.220	0.2041	
79	Spectrogram 1	1	21.378053302	21.668349779	1281.193	6877.982	0.2903	
80	Spectrogram 1	1	21.677421544	21.913287431	1146.330	6810.550	0.2359	
81	Spectrogram 1	1	22.022148610	22.199048026	1011.468	5866.514	0.1769	
82	Spectrogram 1	1	22.253478616	22.430378031	944.037	5933.945	0.1769	
83	Spectrogram 1	1	22.552846858	22.738818038	1483.486	5933.945	0.1860	
84	Spectrogram 1	1	22.797784510	22.956540396	1348.624	5664.220	0.1588	
85	Spectrogram 1	1	23.083545105	23.292195698	1348.624	5933.945	0.2087	
86	Spectrogram 1	1	23.423736289	23.582492175	1348.624	5933.945	0.1588	
87	Spectrogram 1	1	23.726259449	23.921302395	1213.761	6001.376	0.1950	
88	Spectrogram 1	1	24.030163574	24.202527107	1078.899	6001.376	0.1724	
89	Spectrogram 1	1	24.284172991	24.465608289	1213.761	5866.514	0.1814	
90	Spectrogram 1	1	24.569933586	24.751368884	1416.055	5731.651	0.1814	
91	Spectrogram 1	1	24.833014768	24.964555360	1281.193	5664.220	0.1315	
92	Spectrogram 1	1	25.266936777	25.434764428	1416.055	6136.239	0.1678	
93	Spectrogram 1	1	25.461979723	25.661558551	1146.330	6203.670	0.1996	
94	Spectrogram 1	1	25.956390911	26.106075032	1550.917	6338.532	0.1497	
95	Spectrogram 1	1	26.169577386	26.409979156	1213.761	6743.119	0.2404	
96	Spectrogram 1	1	26.450802098	26.682132103	1146.330	6877.982	0.2313	
97	Spectrogram 1	1	26.745634458	26.986036228	1213.761	7080.275	0.2404	
98	Spectrogram 1	1	27.068630630	27.245530045	1146.330	6136.239	0.1769	
99	Spectrogram 1	1	27.250065928	27.472324168	1213.761	6675.688	0.2223	
100	Spectrogram 1	1	27.567577700	27.739941233	1483.486	6473.394	0.1724	
101	Spectrogram 1	1	27.821587117	27.980343003	1685.780	5799.083	0.1588	
102	Spectrogram 1	1	28.048381240	28.207137126	1348.624	5866.514	0.1588	
103	Spectrogram 1	1	28.293318892	28.429395366	1416.055	6001.376	0.1361	
104	Spectrogram 1	1	28.588151252	28.737835373	1281.193	5731.651	0.1497	
105	Spectrogram 1	1	28.864840082	29.019060085	1146.330	5596.789	0.1542	
106	Spectrogram 1	1	29.073490675	29.223174796	1348.624	6001.376	0.1497	
107	Spectrogram 1	1	29.313892445	29.499863625	1348.624	6001.376	0.1860	
108	Spectrogram 1	1	29.603418873	29.780318289	1213.761	5731.651	0.1769	
109	Spectrogram 1	1	29.816605349	30.002576530	1213.761	5731.651	0.1860	
110	Spectrogram 1	1	30.106901826	30.292873007	1281.193	6001.376	0.1860	
111	Spectrogram 1	1	30.301944772	30.569561836	1281.193	6203.670	0.2676	
112	Spectrogram 1	1	30.620141509	30.874150926	1281.193	6945.413	0.2540	
113	Spectrogram 1	1	30.883222691	31.137232109	1348.624	6877.982	0.2540	
114	Spectrogram 1	1	31.187126816	31.359490349	1348.624	6068.807	0.1724	
115	Spectrogram 1	1	31.454743881	31.608963884	1146.330	5866.514	0.1542	
116	Spectrogram 1	1	31.690609768	31.872045066	1146.330	5731.651	0.1814	
117	Spectrogram 1	1	32.008525563	32.194496744	1146.330	6203.670	0.1860	
