Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Comment
77	Spectrogram 1	1	138.274059621	138.569270001	1704.559	3158.448	0.2952	
78	Spectrogram 1	1	146.981172442	147.193354902	1629.358	4286.465	0.2122	
79	Spectrogram 1	1	163.227500743	163.679541637	1930.163	4512.069	0.4520	
80	Spectrogram 1	1	173.514964366	173.907040652	1980.297	4186.197	0.3921	
81	Spectrogram 1	1	178.083096491	178.530524722	1980.297	4562.203	0.4474	
82	Spectrogram 1	1	183.874335197	184.317150766	1955.230	4436.868	0.4428	
83	Spectrogram 1	1	186.309616360	186.789333227	1804.828	4236.331	0.4797	
84	Spectrogram 1	1	187.282888081	187.739541637	1955.230	4161.130	0.4567	
85	Spectrogram 1	1	188.436053627	188.722038682	2356.303	3058.180	0.2860	
86	Spectrogram 1	1	197.865424140	198.322077697	1804.828	4537.136	0.4567	
87	Spectrogram 1	1	201.324755639	201.698381276	1905.096	4186.197	0.3736	
88	Spectrogram 1	1	207.150319935	207.634649465	1729.626	4386.734	0.4843	
89	Spectrogram 1	1	209.039513808	209.500780026	1729.626	4411.801	0.4613	
90	Spectrogram 1	1	212.560603068	212.994193313	1880.029	4211.264	0.4336	
91	Spectrogram 1	1	214.414893266	214.885384809	1854.962	4211.264	0.4705	
92	Spectrogram 1	1	215.651273946	216.071026204	2306.169	3509.387	0.4198	
93	Spectrogram 1	1	217.112718685	217.573984904	2230.967	3534.454	0.4613	
